index,price,condo_fee,bedrooms,bathrooms,vacancies,floor,construction_year,total_area_m2,price_per_area,street_address,street_number,neighborhood,zip_code,city,state,country,address,description,url,link,latitude,longitude,advertizer
851,990000,1330,3,1,1,1,2023.0,112,8839.285714285714,Rua Teodoro Sampaio,1704,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio 1704, Pinheiros, 05406100, São Paulo, SP, BR",Apartamento 03 dormitórios 01 vaga 112 m2 úteis quintal próximo Mateus Grou,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-tv-a-cabo-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2636210767/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-tv-a-cabo-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2636210767/"">Apartamento 03 dormitórios 01 vaga 112 m2 úteis quintal próximo Mateus Grou</a>",-23.562206,-46.685411,SAMUEL CARVALHO IMOVEIS
852,3260,1000,3,2,1,0,1976.0,110,29.636363636363637,,,Pinheiros,05417012,São Paulo,SP,BR," , Pinheiros, 05417012, São Paulo, SP, BR",Vendo e Alugo Confortável Apartamento de 110m² em Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2617324047/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2617324047/"">Vendo e Alugo Confortável Apartamento de 110m² em Pinheiros</a>",,,FMI PRIME NEGOCIOS IMOBILIARIOS LTDA - ME
853,1040000,1152,3,2,1,0,-1.0,148,7027.027027027027,Avenida Rebouças,1164,Pinheiros,05402000,São Paulo,SP,BR,"Avenida Rebouças 1164, Pinheiros, 05402000, São Paulo, SP, BR",Apartamento à venda no bairro Pinheiros - São Paulo/SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-148m2-id-2621634442/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-148m2-id-2621634442/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP</a>",-23.560704,-46.67309,Hidaka Imóveis
854,930000,1670,3,3,1,0,2000.0,104,8942.307692307691,Rua Artur de Azevedo,776,Pinheiros,05404002,São Paulo,SP,BR,"Rua Artur de Azevedo 776, Pinheiros, 05404002, São Paulo, SP, BR",Apartamento à venda em Pinheiros 03 dormitórios 104 m²,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-104m2-id-2588300832/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-104m2-id-2588300832/"">Apartamento à venda em Pinheiros 03 dormitórios 104 m²</a>",-23.561113,-46.679493,UBlink
855,1180000,1347,3,2,0,0,1964.0,157,7515.923566878981,Rua Navarro de Andrade,20,Pinheiros,05418020,São Paulo,SP,BR,"Rua Navarro de Andrade 20, Pinheiros, 05418020, São Paulo, SP, BR",SãO PAULO - Apartamento Padrão - Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-157m2-id-2641057346/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-157m2-id-2641057346/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>",-23.564072,-46.687399,Neon Imóveis - Agência SP
856,1200000,1600,3,3,1,8,1968.0,140,8571.42857142857,Rua Fernão Dias,,Pinheiros,05427000,São Paulo,SP,BR,"Rua Fernão Dias , Pinheiros, 05427000, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2570871963/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2570871963/"">APARTAMENTO - PINHEIROS - SP</a>",,,PAULO ROBERTO LEARDI VL MADALENA
857,1190000,1072,3,3,1,2,1980.0,129,9224.806201550387,Rua Alves Guimarães,921,Pinheiros,05410001,São Paulo,SP,BR,"Rua Alves Guimarães 921, Pinheiros, 05410001, São Paulo, SP, BR","Apartamento tipo para venda com 3 quartos, 129m²",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2656574376/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2656574376/"">Apartamento tipo para venda com 3 quartos, 129m²</a>",-23.554664,-46.679145,JOACIR BORGES COLLECTION IMOVEIS SOCIEDADE UNIPESSOAL LTDA
858,1120000,810,2,1,1,0,-1.0,120,9333.333333333334,Rua Cônego Eugênio Leite,,Pinheiros,05414000,São Paulo,SP,BR,"Rua Cônego Eugênio Leite , Pinheiros, 05414000, São Paulo, SP, BR","Apartamento à Venda - Pinheiros, 2 Quartos, 120 m2",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2635690236/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2635690236/"">Apartamento à Venda - Pinheiros, 2 Quartos, 120 m2</a>",,,QuintoAndar Vendas
859,1049990,1423,3,3,1,0,-1.0,129,8139.457364341085,Rua Fradique Coutinho,546,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho 546, Pinheiros, 05416000, São Paulo, SP, BR",Apartamento Venda 3 Dormitórios - 129 m² Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2653391984/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2653391984/"">Apartamento Venda 3 Dormitórios - 129 m² Pinheiros</a>",-23.561993,-46.687164,Olimpia House
860,1200000,1600,3,3,1,0,1978.0,103,11650.485436893205,,,Pinheiros,05423020,São Paulo,SP,BR," , Pinheiros, 05423020, São Paulo, SP, BR","Pinheiros | Apartamento em andar alto, com vista perfeita !!",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2637076074/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2637076074/"">Pinheiros | Apartamento em andar alto, com vista perfeita !!</a>",,,Mestria Imóveis
861,1170000,1000,3,4,1,4,-1.0,107,10934.579439252337,Rua Joaquim Antunes,996,Pinheiros,05415001,São Paulo,SP,BR,"Rua Joaquim Antunes 996, Pinheiros, 05415001, São Paulo, SP, BR",AMPLO APARTAMENTO ÓTIMA LOCALIZAÇÃO EM PINHEIROS,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2555480170/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2555480170/"">AMPLO APARTAMENTO ÓTIMA LOCALIZAÇÃO EM PINHEIROS</a>",-23.560462,-46.684074,Rampinelli Imoveis
862,1050000,1652,3,2,1,0,1970.0,112,9375.0,Rua Deputado Lacerda Franco,,Pinheiros,05418000,São Paulo,SP,BR,"Rua Deputado Lacerda Franco , Pinheiros, 05418000, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Sul",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2602104026/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2602104026/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Sul</a>",,,Hidaka Imóveis
863,1170000,800,2,2,1,0,-1.0,110,10636.363636363636,Rua Fradique Coutinho,,Vila Madalena,05416011,São Paulo,SP,BR,"Rua Fradique Coutinho , Vila Madalena, 05416011, São Paulo, SP, BR","Apartamento à venda com 2 dormitórios e 1 vaga, localizado na Vila Madalena.",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-vila-madalena-zona-oeste-sao-paulo-sp-110m2-id-2651204180/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-vila-madalena-zona-oeste-sao-paulo-sp-110m2-id-2651204180/"">Apartamento à venda com 2 dormitórios e 1 vaga, localizado na Vila Madalena.</a>",,,CDIA Corretores de imóveis Associados LTDA
864,1100000,1650,3,4,1,0,1974.0,141,7801.418439716312,Rua Henrique Schaumann,,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann , Pinheiros, 05413010, São Paulo, SP, BR",Apartamento com 3 quartos à venda em Pinheiros - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2524587951/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2524587951/"">Apartamento com 3 quartos à venda em Pinheiros - SP</a>",,,LOPES Morumbi
865,1155000,0,4,5,1,0,-1.0,121,9545.454545454546,Rua Fradique Coutinho,,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho , Pinheiros, 05416000, São Paulo, SP, BR",PFC 484 Apto 26938,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2653542386/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2653542386/"">PFC 484 Apto 26938</a>",,,JN Oliveira Imóveis
866,1200000,2625,3,3,1,0,-1.0,109,11009.174311926605,Rua Artur de Azevedo,1192,Pinheiros,05404003,São Paulo,SP,BR,"Rua Artur de Azevedo 1192, Pinheiros, 05404003, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - 3 DORMITÓRIOS - 1 SUÍTE - 1 VAGA,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-109m2-id-2635446915/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-109m2-id-2635446915/"">APARTAMENTO - PINHEIROS - 3 DORMITÓRIOS - 1 SUÍTE - 1 VAGA</a>",-23.563102,-46.683041,C2+ Negócios Imobiliários
867,960000,1057,3,1,1,0,-1.0,100,9600.0,Rua Henrique Schaumann,,Pinheiros,05413011,São Paulo,SP,BR,"Rua Henrique Schaumann , Pinheiros, 05413011, São Paulo, SP, BR",Apartamente com excelente localização - e lindo!!!,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2559666069/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2559666069/"">Apartamente com excelente localização - e lindo!!!</a>",,,JAIME ADMINISTRACAO DE BENS E CONDOMINIOS LTDA
868,980000,1500,3,2,1,0,1973.0,153,6405.228758169935,Avenida Pedroso de Morais,57,Pinheiros,05419000,São Paulo,SP,BR,"Avenida Pedroso de Morais 57, Pinheiros, 05419000, São Paulo, SP, BR",APARTAMENTO 3 DORMITÓRIOS EM PINHEIROS,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-153m2-id-2646333571/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-153m2-id-2646333571/"">APARTAMENTO 3 DORMITÓRIOS EM PINHEIROS</a>",-23.569019,-46.688011,ZIMMERMANN IMÓVEIS
869,890000,268,2,2,0,0,-1.0,114,7807.017543859649,,,Pinheiros,05422012,São Paulo,SP,BR," , Pinheiros, 05422012, São Paulo, SP, BR",Apartamento ao lado metro Fradique Coutinho!!,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2630549948/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2630549948/"">Apartamento ao lado metro Fradique Coutinho!!</a>",,,SHISAN IMÓVEIS
870,1165000,1814,3,2,1,0,-1.0,114,10219.298245614034,Rua Teodoro Sampaio,,Pinheiros,05405000,São Paulo,SP,BR,"Rua Teodoro Sampaio , Pinheiros, 05405000, São Paulo, SP, BR","Apartamento com 3 dormitórios à venda, 114 m² por R$ 1.165.000,00 - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2623895331/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2623895331/"">Apartamento com 3 dormitórios à venda, 114 m² por R$ 1.165.000,00 - Pinheiros - São Paulo/SP</a>",,,Abivel Consultoria de Negócios LTDA
871,1010000,250,2,2,1,0,1959.0,114,8859.649122807017,,,Pinheiros,05422012,São Paulo,SP,BR," , Pinheiros, 05422012, São Paulo, SP, BR",Apto com 114 m2 a venda em Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2569309651/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2569309651/"">Apto com 114 m2 a venda em Pinheiros</a>",,,Lef Properties
872,850000,500,2,2,0,0,-1.0,100,8500.0,Rua Teodoro Sampaio,,Pinheiros,05406050,São Paulo,SP,BR,"Rua Teodoro Sampaio , Pinheiros, 05406050, São Paulo, SP, BR","Apartamento à Venda - Pinheiros, 2 Quartos, 100 m2",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2598285773/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2598285773/"">Apartamento à Venda - Pinheiros, 2 Quartos, 100 m2</a>",,,QuintoAndar Vendas
873,1080000,1300,3,2,1,0,1974.0,112,9642.857142857143,Rua Cônego Eugênio Leite,,Pinheiros,05414000,São Paulo,SP,BR,"Rua Cônego Eugênio Leite , Pinheiros, 05414000, São Paulo, SP, BR","Apartamento à Venda 112m² - Pinheiros, São Paulo.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2633527068/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-112m2-id-2633527068/"">Apartamento à Venda 112m² - Pinheiros, São Paulo.</a>",,,Grenna Imoveis
874,995000,800,3,2,1,0,-1.0,135,7370.37037037037,Avenida Rebouças,1164,Pinheiros,05402100,São Paulo,SP,BR,"Avenida Rebouças 1164, Pinheiros, 05402100, São Paulo, SP, BR",Excelente três dormitórios a cinquenta metros do Metrô Oscar Freire,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-135m2-id-2564837211/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-135m2-id-2564837211/"">Excelente três dormitórios a cinquenta metros do Metrô Oscar Freire</a>",-23.560703,-46.673096,Camargo Prime
875,1200000,793,3,2,1,0,1972.0,100,12000.0,Rua Oscar Freire,,Pinheiros,05409010,São Paulo,SP,BR,"Rua Oscar Freire , Pinheiros, 05409010, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Sul",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2602103034/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2602103034/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Sul</a>",,,Hidaka Imóveis
876,1200000,1100,3,2,1,0,-1.0,140,8571.42857142857,Rua Henrique Schaumann,,Pinheiros,05413011,São Paulo,SP,BR,"Rua Henrique Schaumann , Pinheiros, 05413011, São Paulo, SP, BR",Apartamento à venda em Sao Paulo,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2641956953/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2641956953/"">Apartamento à venda em Sao Paulo</a>",,,EMCASA
877,1100000,2002,3,2,1,0,-1.0,107,10280.373831775702,Rua Artur de Azevedo,1192,Pinheiros,05404003,São Paulo,SP,BR,"Rua Artur de Azevedo 1192, Pinheiros, 05404003, São Paulo, SP, BR","Apartamento à venda com 107m², 3 quartos e 1 vaga em Pinheiros.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2615846650/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2615846650/"">Apartamento à venda com 107m², 3 quartos e 1 vaga em Pinheiros.</a>",-23.563102,-46.683041,Sh Prime Imóveis
878,1200000,1750,3,3,1,5,1975.0,120,10000.0,Rua João Moura,,Vila Madalena,05412003,São Paulo,SP,BR,"Rua João Moura , Vila Madalena, 05412003, São Paulo, SP, BR",APARTAMENTO - VILA MADALENA - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-120m2-id-2616974236/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-120m2-id-2616974236/"">APARTAMENTO - VILA MADALENA - SP</a>",,,Paulo Roberto Leardi
879,990000,1290,3,3,1,0,1980.0,105,9428.57142857143,Rua Fradique Coutinho,546,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho 546, Pinheiros, 05416000, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2618799650/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2618799650/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste</a>",-23.561993,-46.687164,Complexo Imobiliário
880,950000,2400,3,3,2,0,1992.0,100,9500.0,Rua João Moura,2381,Pinheiros,05412000,São Paulo,SP,BR,"Rua João Moura 2381, Pinheiros, 05412000, São Paulo, SP, BR",Apartamento em Pinheiros com 3 dormitórios e 2 vagas,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2615846649/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2615846649/"">Apartamento em Pinheiros com 3 dormitórios e 2 vagas</a>",-23.548632,-46.688361,Sh Prime Imóveis
881,1050000,1400,3,2,1,0,-1.0,120,8750.0,Rua João Moura,1406,Pinheiros,05412003,São Paulo,SP,BR,"Rua João Moura 1406, Pinheiros, 05412003, São Paulo, SP, BR",Oportunidade em Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2463418014/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2463418014/"">Oportunidade em Pinheiros</a>",-23.553769,-46.681795,Kariane Mendes Munhoz Corretora de imóveis
882,780000,600,3,2,0,0,1957.0,155,5032.258064516129,Rua Teodoro Sampaio,,Pinheiros,05405200,São Paulo,SP,BR,"Rua Teodoro Sampaio , Pinheiros, 05405200, São Paulo, SP, BR","Apartamento à venda com 155m², Pinheiros - São Paulo.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-155m2-id-2574667125/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-155m2-id-2574667125/"">Apartamento à venda com 155m², Pinheiros - São Paulo.</a>",,,Grenna Imóveis
883,1200000,1200,1,2,3,9,-1.0,100,12000.0,Rua Padre Carvalho,,Pinheiros,05427100,São Paulo,SP,BR,"Rua Padre Carvalho , Pinheiros, 05427100, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste",https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2602102695/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2602102695/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste</a>",,,Hidaka Imóveis
884,999970,1150,3,2,1,0,-1.0,107,9345.514018691589,Rua Alves Guimarães,980,Pinheiros,05410001,São Paulo,SP,BR,"Rua Alves Guimarães 980, Pinheiros, 05410001, São Paulo, SP, BR",Apartamento Venda 3 Dormitórios - 107 m² Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2652160625/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2652160625/"">Apartamento Venda 3 Dormitórios - 107 m² Pinheiros</a>",-23.554041,-46.679044,Olimpia House
885,990000,0,3,2,1,0,-1.0,141,7021.276595744681,Rua Henrique Schaumann,,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann , Pinheiros, 05413010, São Paulo, SP, BR","Apartamento 3 Quartos à venda em Pinheiros, São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2642851889/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2642851889/"">Apartamento 3 Quartos à venda em Pinheiros, São Paulo/SP</a>",,,K2 Imóveis
886,1200000,1226,3,2,3,0,-1.0,164,7317.073170731707,Rua Oscar Freire,,Pinheiros,05409011,São Paulo,SP,BR,"Rua Oscar Freire , Pinheiros, 05409011, São Paulo, SP, BR","Imóvel para reforma, com 3 vagas em localização nobre de Pinheiros!",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-164m2-id-2550302684/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-164m2-id-2550302684/"">Imóvel para reforma, com 3 vagas em localização nobre de Pinheiros!</a>",,,RX IMÓVEIS
887,649670,950,2,2,0,0,2023.0,110,5906.090909090909,Rua Butantã,100,Pinheiros,05424140,São Paulo,SP,BR,"Rua Butantã 100, Pinheiros, 05424140, São Paulo, SP, BR",Apartamento em Rua Butantã - Pinheiros - São Paulo/SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2649710084/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2649710084/"">Apartamento em Rua Butantã - Pinheiros - São Paulo/SP</a>",-23.568195,-46.696997,USUÁRIO NEWCORE
888,1199970,1550,3,3,1,0,-1.0,130,9230.538461538461,Rua Mateus Grou,581,Pinheiros,05415050,São Paulo,SP,BR,"Rua Mateus Grou 581, Pinheiros, 05415050, São Paulo, SP, BR",Apartamento Venda 3 Dormitórios - 130 m² Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2652465875/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2652465875/"">Apartamento Venda 3 Dormitórios - 130 m² Pinheiros</a>",-23.561507,-46.686601,Olímpia House
889,950000,250,2,1,0,0,-1.0,114,8333.333333333334,Rua dos Pinheiros,258,Pinheiros,05422010,São Paulo,SP,BR,"Rua dos Pinheiros 258, Pinheiros, 05422010, São Paulo, SP, BR",Apartamento em Pinheiros - São Paulo,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2593591066/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-2593591066/"">Apartamento em Pinheiros - São Paulo</a>",-23.564641,-46.680813,S3 Imóveis
890,953000,1372,2,1,1,0,-1.0,126,7563.492063492064,,,Pinheiros,05413010,São Paulo,SP,BR," , Pinheiros, 05413010, São Paulo, SP, BR","Apartamento a venda de 126,41m² Condomínio Ibirete - Pinheiros - SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2626753283/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2626753283/"">Apartamento a venda de 126,41m² Condomínio Ibirete - Pinheiros - SP</a>",,,WB Alpha Imóveis
891,1200000,2806,3,3,2,2,-1.0,100,12000.0,Rua João Moura,,Pinheiros,05412004,São Paulo,SP,BR,"Rua João Moura , Pinheiros, 05412004, São Paulo, SP, BR","Amplo apto com 3 dorms, 2 vagas",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2509360988/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2509360988/"">Amplo apto com 3 dorms, 2 vagas</a>",,,JORGE LUÍS FRANSNELLI
