;price;condo_fee;bedrooms;bathrooms;vacancies;floor;construction_year;total_area_m2;price_per_area;street_address;street_number;address;description;url;link;latitude;longitude;advertizer
5347;495000;0;3;3;3;0;-1.0;140;3535.714285714286;Rua Joaquim Távora;1;Rua Joaquim Távora 1, Vila Mariana, 04015000, São Paulo, SP, BR;Casa para venda com 140 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-140m2-id-2649809153/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-140m2-id-2649809153/"">Casa para venda com 140 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP</a>";-23.582592;-46.633357;Augusto Magalhães Neto
5355;820000;0;3;3;2;0;-1.0;147;5578.231292517007;Rua Ana Demerson;;Rua Ana Demerson , Vila Mariana, 04113120, São Paulo, SP, BR;Vila Mariana, Casa sobrado com 3 quartos, 2 vagas, 147metros;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-147m2-id-2630523488/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-147m2-id-2630523488/"">Vila Mariana, Casa sobrado com 3 quartos, 2 vagas, 147metros</a>";;;Imóveis PRO
5367;724000;800;3;2;0;0;-1.0;115;6295.652173913043;Rua Domingos de Morais;;Rua Domingos de Morais , Vila Mariana, 04010903, São Paulo, SP, BR;Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Sul;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-115m2-id-2602104679/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-115m2-id-2602104679/"">Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Sul</a>";;;Hidaka Imóveis
5380;620000;0;2;3;1;0;-1.0;110;5636.363636363636;Rua José de Camargo;;Rua José de Camargo , Vila Mariana, 04139010, São Paulo, SP, BR;Sobrado próximo metrô 2 dormitórios 1 vaga - quintal - Vila Mariana;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-110m2-id-2639472896/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-110m2-id-2639472896/"">Sobrado próximo metrô 2 dormitórios 1 vaga - quintal - Vila Mariana</a>";;;Kavaleski Imóveis
5382;1070000;0;3;1;1;0;-1.0;217;4930.875576036867;Rua da União;;Rua da União , Vila Mariana, 04107011, São Paulo, SP, BR;Casa à Venda - Vila Mariana, 3 Quartos, 217 m2;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-217m2-id-2622179013/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-217m2-id-2622179013/"">Casa à Venda - Vila Mariana, 3 Quartos, 217 m2</a>";;;QuintoAndar Vendas
5383;1170000;0;3;2;3;0;-1.0;180;6500.0;;; , Vila Mariana, 04016032, São Paulo, SP, BR;Sobrado com 3 dormitórios à venda, 180 m² por R$ 1.170.000,00 - Vila Mariana - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-180m2-id-2567376124/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-180m2-id-2567376124/"">Sobrado com 3 dormitórios à venda, 180 m² por R$ 1.170.000,00 - Vila Mariana - São Paulo/SP</a>";;;Takaki Imoveis
5388;770000;0;2;1;2;0;1970.0;128;6015.625;Rua Potenji;;Rua Potenji , Vila Mariana, 04139020, São Paulo, SP, BR;Casa com 2 dormitórios à venda, 128 m² por R$ 770.000,00 - Vila Mariana - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-lavanderia-coletiva-vila-mariana-zona-sul-sao-paulo-sp-128m2-id-2559600904/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-lavanderia-coletiva-vila-mariana-zona-sul-sao-paulo-sp-128m2-id-2559600904/"">Casa com 2 dormitórios à venda, 128 m² por R$ 770.000,00 - Vila Mariana - São Paulo/SP</a>";;;Hirata Imóveis
5397;800000;0;2;3;1;0;-1.0;145;5517.241379310345;Rua Pero Correia;;Rua Pero Correia , Vila Mariana, 04113041, São Paulo, SP, BR;Casa à venda vila mariana com 145m², 2 dormes, 1 suite, 1 vaga. são Paulo- zona sul;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-vila-mariana-zona-sul-sao-paulo-sp-145m2-id-2624004808/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-vila-mariana-zona-sul-sao-paulo-sp-145m2-id-2624004808/"">Casa à venda vila mariana com 145m², 2 dormes, 1 suite, 1 vaga. são Paulo- zona sul</a>";;;RI Select
5402;600000;0;3;3;3;0;2022.0;169;3550.2958579881656;Rua Bartolomeu de Gusmão;1234;Rua Bartolomeu de Gusmão 1234, Vila Mariana, 04111020, São Paulo, SP, BR;Casa para venda com 169 metros quadrados com 4 quartos em Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-gourmet-vila-mariana-zona-sul-sao-paulo-sp-169m2-id-2646095117/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-gourmet-vila-mariana-zona-sul-sao-paulo-sp-169m2-id-2646095117/"">Casa para venda com 169 metros quadrados com 4 quartos em Vila Mariana - São Paulo - SP</a>";-23.585839;-46.632259;Samara Morais
5405;650000;1421;2;2;1;0;-1.0;102;6372.549019607844;Rua Domingos de Morais;;Rua Domingos de Morais , Vila Mariana, 04010000, São Paulo, SP, BR;Apartamento à Venda - Vila Mariana, 2 Quartos, 102 m2;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-102m2-id-2636980899/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-102m2-id-2636980899/"">Apartamento à Venda - Vila Mariana, 2 Quartos, 102 m2</a>";;;QuintoAndar Vendas
5406;620000;450;2;2;1;0;-1.0;100;6200.0;Avenida Lins de Vasconcelos;;Avenida Lins de Vasconcelos , Vila Mariana, 04112010, São Paulo, SP, BR;Apartamento Residencial CAMBUCI;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-vila-mariana-zona-sul-sao-paulo-sp-100m2-id-2554446504/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-vila-mariana-zona-sul-sao-paulo-sp-100m2-id-2554446504/"">Apartamento Residencial CAMBUCI</a>";;;Novo Stillo Negócios Imobiliários
5408;550000;0;2;1;1;0;-1.0;111;4954.954954954955;Travessa Luiz Puglisi;;Travessa Luiz Puglisi , Vila Mariana, 04113050, São Paulo, SP, BR;SOBRADO DE VILA !!!!;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-111m2-id-2628582683/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-111m2-id-2628582683/"">SOBRADO DE VILA !!!!</a>";;;Digiway Imóveis e Administração Ltda - ME
5410;725000;1200;2;1;0;0;-1.0;115;6304.347826086957;Rua da União;;Rua da União , Aclimação, 04107011, São Paulo, SP, BR;Apartamento à venda no bairro Aclimação - São Paulo/SP, Zona Central;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-aclimacao-centro-sao-paulo-sp-115m2-id-2619065793/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-aclimacao-centro-sao-paulo-sp-115m2-id-2619065793/"">Apartamento à venda no bairro Aclimação - São Paulo/SP, Zona Central</a>";;;Hidaka Imóveis
5411;780000;0;3;1;1;0;-1.0;130;6000.0;;; , Vila Mariana, 04011050, São Paulo, SP, BR;SOBRADO 03 DORMITORIOS VENDE VILA MARIANA METRO COM 130 M² (11) 9.5778.1936;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-130m2-id-2601897279/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-130m2-id-2601897279/"">SOBRADO 03 DORMITORIOS VENDE VILA MARIANA METRO COM 130 M² (11) 9.5778.1936</a>";;;TECNOZIL IMÓVEIS
5420;870000;0;3;4;2;0;-1.0;170;5117.64705882353;Rua Santa Cruz;;Rua Santa Cruz , Vila Mariana, 04121000, São Paulo, SP, BR;Casa com 3 quartos à venda em Vila Mariana - SP;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-armario-embutido-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2620101070/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-armario-embutido-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2620101070/"">Casa com 3 quartos à venda em Vila Mariana - SP</a>";;;Lopes Prime - Moema
5423;1190000;0;3;5;3;0;-1.0;246;4837.3983739837395;Rua General Gurjão;;Rua General Gurjão , Vila Mariana, 04113070, São Paulo, SP, BR;CASA RESIDENCIAL em São Paulo - SP, Vila Mariana;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-246m2-id-2655496214/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-246m2-id-2655496214/"">CASA RESIDENCIAL em São Paulo - SP, Vila Mariana</a>";;;AUGUSTO GOMES
5424;800000;0;2;2;1;0;2023.0;152;5263.1578947368425;;; , Vila Mariana, 04117091, São Paulo, SP, BR;Sobrado venda 2 dormitorios, 2 banheiros, sala, cozinha m 1 vaga alto do Ipiranga Sao Paulo;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-152m2-id-2596703144/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-152m2-id-2596703144/"">Sobrado venda 2 dormitorios, 2 banheiros, sala, cozinha m 1 vaga alto do Ipiranga Sao Paulo</a>";;;Icasaa Imóveis e Incorporadora
5428;990000;0;3;3;2;0;-1.0;253;3913.0434782608695;Rua Conde de Irajá;;Rua Conde de Irajá , Vila Mariana, 04119010, São Paulo, SP, BR;Vila Mariana - 253m² 3Dts, 1St, 2Gar, Px ao Metrô;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-armario-embutido-vila-mariana-zona-sul-sao-paulo-sp-253m2-id-2640078553/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-armario-embutido-vila-mariana-zona-sul-sao-paulo-sp-253m2-id-2640078553/"">Vila Mariana - 253m² 3Dts, 1St, 2Gar, Px ao Metrô</a>";;;CENTER IMOVEIS
5436;850000;0;2;2;2;0;-1.0;163;5214.7239263803685;Rua Colônia da Glória;;Rua Colônia da Glória , Vila Mariana, 04113001, São Paulo, SP, BR;Casa à Venda - Vila Mariana, 2 Quartos, 163 m2;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-163m2-id-2630909283/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-163m2-id-2630909283/"">Casa à Venda - Vila Mariana, 2 Quartos, 163 m2</a>";;;QuintoAndar Vendas
5440;650000;0;3;2;1;0;-1.0;100;6500.0;;; , Vila Mariana, 04121001, São Paulo, SP, BR;SAO PAULO - Apartamento Padrão - SANTA CRUZ;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-vila-mariana-zona-sul-sao-paulo-sp-100m2-id-2581453949/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-vila-mariana-zona-sul-sao-paulo-sp-100m2-id-2581453949/"">SAO PAULO - Apartamento Padrão - SANTA CRUZ</a>";;;MARC NEGÓCIOS IMOBILIÁRIOS
5445;650000;0;3;3;3;0;-1.0;180;3611.1111111111113;Rua Brás Lourenço;220;Rua Brás Lourenço 220, Vila Mariana, 04113110, São Paulo, SP, BR;Casa à venda na Vila Mariana com 180m² 3 dormitórios 3 banheiros 3 vagas;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-180m2-id-2646271197/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-180m2-id-2646271197/"">Casa à venda na Vila Mariana com 180m² 3 dormitórios 3 banheiros 3 vagas</a>";-23.582456;-46.623826;RI IMOB DIGITAL
5452;909990;984;2;1;1;0;-1.0;140;6499.928571428572;Rua Topázio;926;Rua Topázio 926, Vila Mariana, 04105063, São Paulo, SP, BR;Apartamento Venda Vila Mariana 140 m² 2 Dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-vila-mariana-zona-sul-sao-paulo-sp-140m2-id-2655255174/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-vila-mariana-zona-sul-sao-paulo-sp-140m2-id-2655255174/"">Apartamento Venda Vila Mariana 140 m² 2 Dormitórios</a>";-23.578028;-46.635804;OHI Imóveis
5454;850000;650;3;1;2;0;2010.0;137;6204.379562043796;Rua Bitencourt Sampaio;195;Rua Bitencourt Sampaio 195, Vila Mariana, 04126060, São Paulo, SP, BR;Apartamento para venda tem 137 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-137m2-id-2649600876/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-137m2-id-2649600876/"">Apartamento para venda tem 137 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP</a>";-23.598848;-46.630617;César Alexandre da Silva
5458;1150000;0;2;2;3;0;-1.0;240;4791.666666666667;Rua Machado de Assis;;Rua Machado de Assis , Vila Mariana, 04106000, São Paulo, SP, BR;Sobrado Residencial 240m² 2 dormitórios 1 suíte e 3 vagas na Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-240m2-id-2636144776/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-240m2-id-2636144776/"">Sobrado Residencial 240m² 2 dormitórios 1 suíte e 3 vagas na Vila Mariana - São Paulo - SP</a>";;;RI Select
5462;612000;779;2;2;1;0;-1.0;109;5614.678899082569;Rua José Antônio Coelho;;Rua José Antônio Coelho , Vila Mariana, 04011061, São Paulo, SP, BR;Apartamento com 2 dormitórios à venda, 109 m² por R$ 612.000,00 - Vila Mariana - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-109m2-id-2573799219/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-109m2-id-2573799219/"">Apartamento com 2 dormitórios à venda, 109 m² por R$ 612.000,00 - Vila Mariana - São Paulo/SP</a>";;;Curcia Imóveis
5463;480000;0;2;2;2;0;2020.0;120;4000.0;Rua Benedito Caim;746;Rua Benedito Caim 746, Vila Mariana, 04121070, São Paulo, SP, BR;Casa para venda tem 120 metros quadrados com 2 quartos em Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-120m2-id-2652155253/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-120m2-id-2652155253/"">Casa para venda tem 120 metros quadrados com 2 quartos em Vila Mariana - São Paulo - SP</a>";-23.598529;-46.624358;Quadrado Imóveis
5465;720000;811;2;1;1;1;1991.0;140;5142.857142857143;Rua Vergueiro;;Rua Vergueiro , Chácara Klabin, 04101300, São Paulo, SP, BR;APARTAMENTO - CHÁCARA KLABIN - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-chacara-klabin-zona-sul-sao-paulo-sp-140m2-id-2642637398/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-chacara-klabin-zona-sul-sao-paulo-sp-140m2-id-2642637398/"">APARTAMENTO - CHÁCARA KLABIN - SP</a>";;;Paulo Roberto Leardi
5470;870000;0;3;3;2;0;-1.0;229;3799.126637554585;Rua Brás Lourenço;;Rua Brás Lourenço , Vila Mariana, 04113110, São Paulo, SP, BR;Casa à Venda - Vila Mariana, 3 Quartos, 229 m2;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-229m2-id-2620411952/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-229m2-id-2620411952/"">Casa à Venda - Vila Mariana, 3 Quartos, 229 m2</a>";;;QuintoAndar Vendas
5472;740000;1081;3;2;2;0;1970.0;128;5781.25;Rua Topázio;;Rua Topázio , Vila Mariana, 04105063, São Paulo, SP, BR;Apartamento na Vila Mariana. Excelente Oportunidade;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-128m2-id-2648397655/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-128m2-id-2648397655/"">Apartamento na Vila Mariana. Excelente Oportunidade</a>";;;Lopes Condovel Vila Mariana
5477;1190000;0;3;5;3;0;-1.0;246;4837.3983739837395;Rua General Gurjão;94;Rua General Gurjão 94, Vila Mariana, 04113070, São Paulo, SP, BR;Sobrado para venda com 3 quartos, 246m²;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-246m2-id-2656206568/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-246m2-id-2656206568/"">Sobrado para venda com 3 quartos, 246m²</a>";-23.583898;-46.625575;REMAX
5479;650000;785;2;2;1;1;-1.0;110;5909.090909090909;Rua Domingos de Morais;;Rua Domingos de Morais , Vila Mariana, 04010100, São Paulo, SP, BR;Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Central;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-110m2-id-2602100814/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-110m2-id-2602100814/"">Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Central</a>";;;Hidaka Imóveis
5481;970000;0;3;3;2;0;1983.0;170;5705.882352941177;;; , Vila Mariana, 04139020, São Paulo, SP, BR;Sobrado com 3 dormitórios à venda, 170 m² por R$ 970.000,00 - Vila Mariana - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2567375634/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2567375634/"">Sobrado com 3 dormitórios à venda, 170 m² por R$ 970.000,00 - Vila Mariana - São Paulo/SP</a>";;;Takaki Imoveis
5490;999000;0;3;2;1;0;-1.0;165;6054.545454545455;Rua Vergueiro;;Rua Vergueiro , Vila Mariana, 04102001, São Paulo, SP, BR;CASA COMERCIAL NA VILA MARIANA - PROXIMO AO METRO;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-165m2-id-2646466390/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-165m2-id-2646466390/"">CASA COMERCIAL NA VILA MARIANA - PROXIMO AO METRO</a>";;;Lopes Condovel Vila Mariana
5493;790000;0;3;1;1;0;-1.0;131;6030.534351145038;Rua Eça de Queiroz;;Rua Eça de Queiroz , Paraíso, 04011031, São Paulo, SP, BR;Casa à venda, 131 m² por R$ 790.000,00 - Paraíso - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-interfone-paraiso-zona-sul-sao-paulo-sp-131m2-id-2583038054/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-interfone-paraiso-zona-sul-sao-paulo-sp-131m2-id-2583038054/"">Casa à venda, 131 m² por R$ 790.000,00 - Paraíso - São Paulo/SP</a>";;;CHIMENTO IMÓVEIS
5496;990000;0;3;3;1;0;-1.0;210;4714.285714285715;Rua Augusto de Freitas;;Rua Augusto de Freitas , Vila Mariana, 04012130, São Paulo, SP, BR;Casa à Venda - Vila Mariana, 3 Quartos, 210 m2;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-210m2-id-2617483707/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-210m2-id-2617483707/"">Casa à Venda - Vila Mariana, 3 Quartos, 210 m2</a>";;;QuintoAndar Vendas
5498;1200000;0;4;4;3;0;-1.0;200;6000.0;Rua Alexandre Buairide;1;Rua Alexandre Buairide 1, Vila Mariana, 04110080, São Paulo, SP, BR;Casa / Sobrado para Venda em São Paulo, Vila Mariana, 4 dormitórios, 2 suítes, 4 banheiros, 3 vagas;https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-vila-mariana-zona-sul-sao-paulo-sp-200m2-id-2643606526/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-vila-mariana-zona-sul-sao-paulo-sp-200m2-id-2643606526/"">Casa / Sobrado para Venda em São Paulo, Vila Mariana, 4 dormitórios, 2 suítes, 4 banheiros, 3 vagas</a>";-23.584837;-46.631213;ALPHI NEGOCIOS IMOBILIARIOS
5500;1100000;1900;3;4;1;0;1971.0;170;6470.588235294118;Rua Topázio;;Rua Topázio , Aclimação, 04105060, São Paulo, SP, BR;apt de 170mts com 3 dorm 1 suite 1 vaga OTIMA LOCALIZAÇAO ACLIMACAO;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-aclimacao-centro-sao-paulo-sp-170m2-id-2655177771/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-aclimacao-centro-sao-paulo-sp-170m2-id-2655177771/"">apt de 170mts com 3 dorm 1 suite 1 vaga OTIMA LOCALIZAÇAO ACLIMACAO</a>";;;AZULLE - IMOVEIS S/S LTDA
5504;736000;854;3;3;1;6;-1.0;120;6133.333333333333;Rua Cubatão;;Rua Cubatão , Vila Mariana, 04013902, São Paulo, SP, BR;Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Sul;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-120m2-id-2602101108/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-120m2-id-2602101108/"">Apartamento à venda no bairro Vila Mariana - São Paulo/SP, Zona Sul</a>";;;Hidaka Imóveis
5505;550000;0;3;2;2;0;2010.0;129;4263.565891472868;Rua Colônia da Glória;33333;Rua Colônia da Glória 33333, Vila Mariana, 04113001, São Paulo, SP, BR;Casa para venda tem 129 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-129m2-id-2651595412/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-129m2-id-2651595412/"">Casa para venda tem 129 metros quadrados com 3 quartos em Vila Mariana - São Paulo - SP</a>";-23.585209;-46.626888;César Alexandre da Silva
5511;999000;0;3;3;1;0;1962.0;160;6243.75;Rua Gassipós;;Rua Gassipós , Vila Mariana, 04019090, São Paulo, SP, BR;Apartamento 3 dormitórios para Venda em São Paulo, Vila Mariana, 3 dormitórios, 1 suíte, 3 banheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-160m2-id-2528395228/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-160m2-id-2528395228/"">Apartamento 3 dormitórios para Venda em São Paulo, Vila Mariana, 3 dormitórios, 1 suíte, 3 banheiros</a>";-23.590185;-46.644873;Imóvel Vila Mariana
5516;1100000;0;4;5;3;0;1979.0;280;3928.5714285714284;Rua Alexandre Buairide;83;Rua Alexandre Buairide 83, Vila Mariana, 04110080, São Paulo, SP, BR;rua tranquila e guarita segurança;https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-280m2-id-2645585079/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-vila-mariana-zona-sul-sao-paulo-sp-280m2-id-2645585079/"">rua tranquila e guarita segurança</a>";-23.585512;-46.630809;ARK Imóveis
5518;900000;0;2;3;1;0;-1.0;170;5294.117647058823;Rua Brás Lourenço;;Rua Brás Lourenço , Vila Mariana, 04113110, São Paulo, SP, BR;Casa com 2 dormitórios à venda, 170 m² por R$ 900.000,00 - Vila Mariana - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2568121056/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vila-mariana-zona-sul-sao-paulo-sp-170m2-id-2568121056/"">Casa com 2 dormitórios à venda, 170 m² por R$ 900.000,00 - Vila Mariana - São Paulo/SP</a>";;;Curcia Imóveis
